time,NrCellId,supi,tac
2025-02-03 10:50:25.466954488,000000060,208930000000001,000001
2025-02-03 10:50:25.467187741,000000040,208930000000003,000003
2025-02-03 10:50:25.618845088,000000040,208930000000002,000003
2025-02-03 10:51:28.596875786,000000040,208930000000004,000003
2025-02-03 10:55:27.890694981,000000050,208930000000001,000002
2025-02-03 11:05:00.635830603,000000030,208930000000003,000004
2025-02-03 11:10:28.851332540,000000050,208930000000004,000002
2025-02-03 12:21:07.325997726,000000040,208930000000001,000003
2025-02-03 12:21:07.326300437,000000030,208930000000002,000004
2025-02-03 12:21:07.326435752,000000060,208930000000003,000001
2025-02-03 13:26:32.617383800,000000050,208930000000001,000002
2025-02-03 13:26:32.617470064,000000030,208930000000003,000004
2025-02-03 13:43:29.753256930,000000040,208930000000002,000003
2025-02-03 13:57:58.297374841,000000050,208930000000003,000002
2025-02-03 13:58:58.121017857,000000040,208930000000003,000003
2025-02-03 14:02:25.905211530,000000060,208930000000001,000001
2025-02-03 14:05:38.297188477,000000030,208930000000001,000004
2025-02-03 14:06:33.303858110,000000030,208930000000003,000004
2025-02-03 14:11:05.177031476,000000050,208930000000002,000002
2025-02-03 14:34:18.968358540,000000060,208930000000003,000001
2025-02-03 15:16:55.081186605,000000040,208930000000002,000003
2025-02-03 15:18:55.441411282,000000060,208930000000001,000001
2025-02-03 15:21:32.456363365,000000050,208930000000002,000002
2025-02-03 15:21:35.288760377,000000030,208930000000001,000004
2025-02-03 16:35:19.297430245,000000040,208930000000002,000003
2025-02-03 16:40:24.216603971,000000050,208930000000002,000002
2025-02-03 17:17:18.600838057,000000060,208930000000004,000001
2025-02-03 17:28:17.265009408,000000040,208930000000003,000003
2025-02-03 18:03:51.465218384,000000060,208930000000001,000001
2025-02-03 18:06:33.977172613,000000060,208930000000002,000001
2025-02-03 18:32:46.289073938,000000040,208930000000002,000003
2025-02-03 18:53:18.408612191,000000030,208930000000004,000004
2025-02-03 19:25:29.809083127,000000050,208930000000003,000002
2025-02-03 19:59:26.713753799,000000040,208930000000003,000003
2025-02-03 20:00:04.057055998,000000030,208930000000001,000004
2025-02-03 21:13:37.561022595,000000060,208930000000001,000001
2025-02-03 21:34:49.776883620,000000040,208930000000004,000003
2025-02-04 00:04:38.921380767,000000030,208930000000002,000004
2025-02-04 00:16:56.169372133,000000050,208930000000004,000002
2025-02-04 01:27:52.729654966,000000030,208930000000001,000004
2025-02-04 02:06:17.352909758,000000040,208930000000002,000003
2025-02-04 04:32:13.072901611,000000060,208930000000001,000001
2025-02-04 04:34:30.433345672,000000030,208930000000001,000004
2025-02-04 04:47:41.945073647,000000050,208930000000003,000002
2025-02-04 06:49:23.664861271,000000040,208930000000001,000003
2025-02-04 06:59:11.401057794,000000050,208930000000001,000002
2025-02-04 08:04:45.433019662,000000060,208930000000001,000001
2025-02-04 08:16:14.201469528,000000030,208930000000002,000004
2025-02-04 08:23:19.905333427,000000040,208930000000003,000003
2025-02-04 10:35:45.041397064,000000040,208930000000002,000003
2025-02-04 11:10:53.377748469,000000030,208930000000003,000004
2025-02-04 11:51:17.160610747,000000050,208930000000002,000002
2025-02-04 12:03:50.633374155,000000030,208930000000004,000004
2025-02-04 12:06:25.993371416,000000040,208930000000003,000003
2025-02-04 12:19:18.696611420,000000050,208930000000003,000002
